Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2026-02-09 19:11:24,false,"Latina - Test 5 km","5.01","280","00:18:27","174","184","3.1","186","192","3:41","3:26","4","4","1.46","6.0","9.1","228","50.6% S / 49.4% D","0.0","3,392","18.0","No","00:00:01.5","6","20.0","00:18:21","00:18:27","16","23"
Corsa,2026-02-07 09:30:33,false,"Latina - 15L","15.01","994","01:10:06","164","176","4.2","179","185","4:40","4:14","42","43","1.20","7.8","9.6","244","50.3% S / 49.7% D","0.0","12,444","18.0","No","00:00:02.0","16","26.0","01:09:56","01:10:06","-4","24"
Corsa,2026-02-06 18:04:04,false,"Latina - 3L 3x(1L 1M 1TR)","12.01","804","00:54:07","169","189","4.3","177","190","4:30","3:47","28","35","1.25","7.8","9.9","249","49.8% S / 50.2% D","0.0","9,502","18.0","No","00:00:01.8","13","22.0","00:54:01","00:54:07","-1","24"
Corsa,2026-02-04 17:44:03,false,"Latina - 3x2km RM + Rec 2","6.82","417","00:29:14","172","187","3.4","172","185","4:17","3:37","26","31","1.34","7.1","9.6","255","50.6% S / 49.4% D","0.0","4,974","17.0","No","00:00:00.9","10","18.0","00:29:08","00:29:16","15","24"
Corsa,2026-02-01 09:31:04,false,"Maratona Maga Circe - 29K","29.14","2,009","02:22:31","169","190","5.0","176","191","4:53","3:59","100","95","1.16","8.3","9.8","248","50.4% S / 49.6% D","0.0","24,844","16.0","No","00:00:35.5","30","25.0","02:22:18","02:22:31","-5","21"
Corsa,2026-01-31 12:54:41,false,"Latina - 20' L","4.08","277","00:20:01","158","171","2.8","171","176","4:54","4:29","5","2","1.20","--","--","--","--","0.0","3,408","18.0","No","00:00:01.2","6","23.0","00:19:59","00:20:01","18","24"
Corsa,2026-01-30 15:27:28,false,"Latina - 30' L","6.00","398","00:29:19","156","167","3.1","172","178","4:53","4:30","8","9","1.19","--","--","--","--","0.0","5,034","17.0","No","00:00:00.8","7","21.0","00:29:17","00:29:19","18","24"
Corsa,2026-01-28 17:50:46,false,"Latina - 5x1km RM + Rec 1","5.37","337","00:26:59","152","185","2.9","144","191","5:01","3:36","14","15","1.32","--","--","--","--","0.0","3,942","16.0","No","00:00:02.1","11","19.0","00:23:29","00:26:59","23","33"
Corsa,2026-01-26 19:01:16,false,"Latina - 6x[0.85L 0.15All","6.00","372","00:27:13","162","177","3.2","172","186","4:32","3:43","5","6","1.28","--","--","--","--","0.0","4,660","15.0","No","00:00:01.5","13","22.0","00:27:10","00:27:13","28","34"
Corsa,2026-01-24 12:19:39,false,"Latina - 15L 4M","19.01","1,281","01:34:00","163","184","4.5","176","189","4:57","4:02","46","49","1.15","--","--","--","--","0.0","16,486","21.0","No","00:00:01.3","20","27.0","01:33:53","01:34:00","4","33"
