"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"8x(4'L+1'LG)","Run","","0.666666666666667","","2025-05-28","","7613.4501953125","329","454","790.281","","0.667318880558014","3.16899991035461","","169","","177","191","","","1.2723418193544","106.83","0","0","0","2","1","4","33","","","","0","0","0","6","5","29","","","","","",""
"6 km D.A. easy","Run","Andare facile senza forzare","0.47","6000","2025-05-30","","6002.43017578125","335","415","610.307","","0.505497515201569","3.29800009727478","","170","","181","195","","","1.30318540241108","84.51","0","0","0","1","0","1","27","","","","1","0","0","0","2","27","","","","","",""
"15x(1'L+1'TR)","Run","","0.5","6930","2025-05-31","","3617.31005859375","293","526","352.613","","0.334188342094421","3.00699996948242","","157","","169","185","","","1.33700783675203","58.36","0","0","1","3","1","3","11","","","","7","1","0","0","1","11","","","","","",""
"Running","Run","","","","2025-06-02","","9009.7802734375","298","450","899.509","","0.838119983673096","2.98600006103516","","162","","165","189","","","1.26131968224192","132.16","1","5","3","6","4","8","24","","","","11","0","0","0","1","37","","","","","",""
"6 km D.A. easy","Run","Andare facile senza forzare","0.47","6000","2025-06-12","","6010.75","","","","","0.525762498378754","3.17600011825562","","156","","162","188","","","0.761517212247395","33.26","0","2","2","4","5","14","5","","","","","","","","","","","","","","",""
"5km M","Run","","0.4775","5500","2025-06-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-06-16","","6007.81005859375","","","","","0.454765021800995","3.67000007629395","","172","","163","191","","","0.880802940783445","38.32","1","6","3","1","1","0","14","","","","","","","","","","","","","","",""
"6x800m TR + Rec","Run","","0.476666666666667","4800","2025-06-18","","5193.830078125","","","","","0.483858615159988","2.98200011253357","","131","","167","188","","","0.844315975103914","37.53","0","3","1","3","1","4","17","","","","","","","","","","","","","","",""
"5 km molto easy","Run","","0.427222222222222","5000","2025-06-26","","4998.93994140625","","","","","0.43536165356636","3.19000005722046","","168","","161","176","","","0.767644396981556","27.87","2","1","0","3","2","6","11","","","","","","","","","","","","","","",""
"6 km (3 low + 3 moderate)","Run","","0.488888888888889","6000","2025-06-30","","6003.56982421875","","","","","0.486681371927261","3.42700004577637","","169","","171","190","","","0.821937682722476","35.79","1","1","0","3","2","8","15","","","","","","","","","","","","","","",""
"10x400m TR rec 1'","Run","","0.422222222222222","4000","2025-07-02","","4723.2998046875","","","","","0.437072515487671","3.00200009346008","","141","","166","187","","","0.730264195664833","25.3","0","1","1","4","2","4","13","","","","","","","","","","","","","","",""
"Progressivo","Run","","0.588333333333333","8000","2025-07-04","","5288.35986328125","","","","","0.455011665821075","3.2279999256134","","162","","162","184","","","0.772728183972745","29.51","2","2","1","4","3","4","11","","","","","","","","","","","","","","",""
"8 L + 1 M + 1 TR","Run","","0.855","10000","2025-07-05","","4483.47998046875","","","","","0.411044180393219","3.02999997138977","","166","","161","175","","","0.75494853286057","25.37","0","1","1","5","6","10","2","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-07-07","","6031.72998046875","","","","","0.476402223110199","3.51699995994568","","172","","167","182","","","0.876298028193955","39.78","1","1","0","3","0","12","12","","","","","","","","","","","","","","",""
"8x600m TR rec 1'","Run","","0.46","4800","2025-07-10","","4528.75","","","","","0.394922494888306","3.18499994277954","","141","","162","185","","","0.862218845533819","31.78","3","1","1","3","2","3","12","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-07-14","","6003.330078125","","","","","0.467040002346039","3.57100009918213","","173","","168","184","","","0.892250308875486","40.43","1","1","0","1","1","3","20","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-07-23","","6005.35986328125","","","","","0.474580019712448","3.51500010490417","","170","","139","149","","","0.879004663829223","39.86","1","21","7","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-08-13","","6005.330078125","","","","","0.542178869247437","3.07699990272522","","164","","161","184","","","0.767160204154957","34.91","0","3","2","6","5","12","5","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-08-14","","4999.8701171875","","","","","0.463720560073853","2.99499988555908","","164","","152","172","","","0.748932012760261","28.26","0","4","3","15","2","2","0","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-08-25","","6006.06982421875","","","","","0.558087766170502","2.98900008201599","","147","","158","191","","","0.788591396818936","37.89","2","5","2","6","2","8","10","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-09-01","","5002.58984375","","","","","0.436447203159332","3.18400001525879","","158","","158","178","","","0.795559771588835","29.99","1","3","1","4","6","6","5","","","","","","","","","","","","","","",""
"4L+2M","Run","","0.485555555555556","6000","2025-09-09","","6002.6201171875","","","","","0.466814696788788","3.57200002670288","","172","","174","194","","","0.896211477331972","40.74","1","1","0","1","1","3","21","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-09-17","","6007.7001953125","","","","","0.472481966018677","3.53200006484985","","173","","168","193","","","0.882416303660261","40.02","3","3","0","0","0","1","21","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-09-22","","6002.009765625","","","","","0.567809998989105","2.93600010871887","","152","","150","173","","","0.73421518814042","33.43","2","7","2","13","3","5","1","","","","","","","","","","","","","","",""
"4L+2M","Run","","0.485555555555556","6000","2025-09-24","","6007.91015625","","","","","0.48079776763916","3.47099995613098","","172","","146","160","","","0.868195109284682","39.4","0","7","11","10","0","0","0","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-09-29","","6009.75","","","","","0.46725195646286","3.57299995422363","","172","","173","188","","","0.893244649227111","40.52","1","2","0","0","1","2","22","","","","","","","","","","","","","","",""
"6x800m TR + Rec","Run","","0.49","4800","2025-10-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6 km D.A. easy","Run","","0.47","6000","2025-10-03","","6002.330078125","","","","","0.560485541820526","2.97499990463257","","156","","159","180","","","0.743929112310686","33.86","1","4","2","7","3","6","10","","","","","","","","","","","","","","",""
